exp,workload,n_traces,speedup_vs_nopf,speedup_vs_pythia,precision,recall
proj_normal_pythia,821.gcc_s,57,1.0434,1.0049,73.95,42.47
proj_normal_pythia,823.llvm_s,87,1.0429,1.0129,81.25,62.49
proj_normal_pythia,829.abc_s,8,1.1076,1.0176,86.23,70.26
proj_normal_pythia,834.vpr_s,12,1.0655,1.009,77.44,49.38
proj_normal_pythia,835.gem5_s,4,1.0002,1.0001,79.95,55.37
proj_normal_pythia,838.diamond_s,1,1.0001,1.0,96.34,95.81
proj_normal_pythia,846.minizinc_s,15,1.0234,1.0045,83.49,66.95
proj_normal_pythia,853.ns3_s,26,0.9937,1.0015,74.44,65.47
proj_normal_pythia,854.graph500_s,3,0.9947,0.9824,86.59,92.11
proj_pythia,706.stockfish_r,3,1.0,1.0,,
proj_pythia,707.ntest_r,4,1.0011,1.0,,
proj_pythia,708.sqlite_r,12,1.1093,1.0,,
proj_pythia,710.omnetpp_r,24,0.9968,1.0,,
proj_pythia,714.cpython_r,9,1.0007,1.0,,
proj_pythia,721.gcc_r,7,1.1237,1.0,,
proj_pythia,723.llvm_r,6,1.0083,1.0,,
proj_pythia,727.cppcheck_r,12,1.0894,1.0,,
proj_pythia,729.abc_r,26,1.0569,1.0,,
proj_pythia,734.vpr_r,11,1.0613,1.0,,
proj_pythia,735.gem5_r,4,1.0004,1.0,,
proj_pythia,750.sealcrypto_r,2,1.0329,1.0,,
proj_pythia,753.ns3_r,24,0.9999,1.0,,
proj_pythia,801.xz_s,4,1.0073,1.0,,
proj_pythia,817.flac_s,42,1.0,1.0,,
proj_pythia,821.gcc_s,57,1.0383,1.0,,
proj_pythia,823.llvm_s,87,1.0296,1.0,,
proj_pythia,829.abc_s,8,1.0884,1.0,,
proj_pythia,834.vpr_s,12,1.056,1.0,,
proj_pythia,835.gem5_s,4,1.0001,1.0,,
proj_pythia,838.diamond_s,1,1.0001,1.0,,
proj_pythia,846.minizinc_s,15,1.0188,1.0,,
proj_pythia,853.ns3_s,26,0.9921,1.0,,
proj_pythia,854.graph500_s,3,1.0125,1.0,,
proj_xpt,706.stockfish_r,3,1.0,1.0,,
proj_xpt,707.ntest_r,4,1.0,0.9989,99.84,0.11
proj_xpt,708.sqlite_r,12,1.0088,0.9094,99.66,31.05
proj_xpt,710.omnetpp_r,24,1.0,1.0032,90.42,8.9
proj_xpt,714.cpython_r,9,1.0002,0.9994,98.99,44.26
proj_xpt,721.gcc_r,7,1.0143,0.9026,92.26,19.14
proj_xpt,723.llvm_r,6,1.0014,0.9932,95.66,13.09
proj_xpt,727.cppcheck_r,12,1.0119,0.9289,99.26,17.29
proj_xpt,729.abc_r,26,1.0066,0.9524,97.58,22.22
proj_xpt,734.vpr_r,11,1.0042,0.9462,95.25,15.37
proj_xpt,735.gem5_r,4,1.0002,0.9998,98.57,17.24
proj_xpt,750.sealcrypto_r,2,1.0063,0.9742,96.61,48.34
proj_xpt,753.ns3_r,24,1.0001,1.0002,85.75,6.35
proj_xpt,801.xz_s,4,1.0001,0.9928,99.61,12.73
proj_xpt,817.flac_s,42,1.0,1.0,100.0,41.15
proj_xpt,821.gcc_s,57,1.0031,0.9661,95.34,12.28
proj_xpt,823.llvm_s,87,1.0058,0.9768,98.65,20.58
proj_xpt,829.abc_s,8,1.0116,0.9294,94.69,16.81
proj_xpt,834.vpr_s,12,1.0055,0.9523,94.49,21.68
proj_xpt,835.gem5_s,4,1.0,0.9999,95.9,8.94
proj_xpt,838.diamond_s,1,1.0,0.9999,6.64,44.44
proj_xpt,846.minizinc_s,15,1.0034,0.9848,98.32,18.87
proj_xpt,853.ns3_s,26,1.0004,1.0083,89.26,3.66
proj_xpt,854.graph500_s,3,1.0102,0.9978,100.0,20.54
proj_xpt_pythia,706.stockfish_r,3,1.0,1.0,,
proj_xpt_pythia,707.ntest_r,4,1.0011,1.0,26.63,0.05
proj_xpt_pythia,708.sqlite_r,12,1.1094,1.0001,62.11,5.82
proj_xpt_pythia,710.omnetpp_r,24,0.9968,1.0,0.0,0.0
proj_xpt_pythia,714.cpython_r,9,1.0007,1.0,58.48,16.43
proj_xpt_pythia,721.gcc_r,7,1.1274,1.0033,55.07,0.82
proj_xpt_pythia,723.llvm_r,6,1.0083,1.0,61.62,2.83
proj_xpt_pythia,727.cppcheck_r,12,1.0891,0.9997,49.52,0.65
proj_xpt_pythia,729.abc_r,26,1.0564,0.9995,56.69,3.67
proj_xpt_pythia,734.vpr_r,11,1.0604,0.9991,53.12,1.82
proj_xpt_pythia,735.gem5_r,4,1.0005,1.0001,76.31,13.3
proj_xpt_pythia,750.sealcrypto_r,2,1.0329,1.0,90.02,23.76
proj_xpt_pythia,753.ns3_r,24,0.9999,1.0,73.18,1.16
proj_xpt_pythia,801.xz_s,4,1.0073,1.0,98.15,14.91
proj_xpt_pythia,817.flac_s,42,1.0,1.0,88.61,27.52
proj_xpt_pythia,821.gcc_s,57,1.0388,1.0005,60.61,0.83
proj_xpt_pythia,823.llvm_s,87,1.0305,1.0008,49.73,0.9
proj_xpt_pythia,829.abc_s,8,1.0892,1.0007,59.51,2.15
proj_xpt_pythia,834.vpr_s,12,1.056,1.0,47.21,2.7
proj_xpt_pythia,835.gem5_s,4,1.0002,1.0,74.63,2.11
proj_xpt_pythia,838.diamond_s,1,1.0001,1.0,5.61,43.47
proj_xpt_pythia,846.minizinc_s,15,1.019,1.0002,68.73,4.73
proj_xpt_pythia,853.ns3_s,26,0.9917,0.9995,44.25,3.17
proj_xpt_pythia,854.graph500_s,3,1.0125,1.0,100.0,0.0
