TraceName,ExpName,ipc,precision,recall,Filter
708.sqlite_r-main_size2000-499B,bw400_pythia,0.95791,0,0,1
708.sqlite_r-main_size2000-499B,bw400_normal,1.01858,89.36,95.51,1
708.sqlite_r-main_size2000-499B,bw400_normal_pythia,0.99162,88.9,96.79,1
708.sqlite_r-main_size2000-499B,bw400_xpt,0.97785,99.85,0.14,1
708.sqlite_r-main_size2000-499B,bw400_xpt_pythia,0.95791,NaN,0.0,1
708.sqlite_r-main_size2000-499B,bw800_nopf,1.03204,0,0,1
708.sqlite_r-main_size2000-499B,bw800_pythia,1.03543,0,0,1
708.sqlite_r-main_size2000-499B,bw800_normal,1.08683,89.35,95.5,1
708.sqlite_r-main_size2000-499B,bw800_normal_pythia,1.08897,88.54,96.72,1
708.sqlite_r-main_size2000-499B,bw800_xpt,1.03226,99.85,0.14,1
708.sqlite_r-main_size2000-499B,bw800_xpt_pythia,1.03543,NaN,0.0,1
708.sqlite_r-main_size2000-499B,bw1600_nopf,1.05279,0,0,1
708.sqlite_r-main_size2000-499B,bw1600_pythia,1.06763,0,0,1
708.sqlite_r-main_size2000-499B,bw1600_normal,1.11178,89.31,95.52,1
708.sqlite_r-main_size2000-499B,bw1600_normal_pythia,1.12437,88.92,95.5,1
708.sqlite_r-main_size2000-499B,bw1600_xpt,1.05302,99.85,0.14,1
708.sqlite_r-main_size2000-499B,bw1600_xpt_pythia,1.06763,NaN,0.0,1
708.sqlite_r-main_size2000-499B,bw3200_nopf,1.06013,0,0,1
708.sqlite_r-main_size2000-499B,bw3200_pythia,1.08084,0,0,1
708.sqlite_r-main_size2000-499B,bw3200_normal,1.12051,89.32,95.52,1
708.sqlite_r-main_size2000-499B,bw3200_normal_pythia,1.13798,89.82,95.37,1
708.sqlite_r-main_size2000-499B,bw3200_xpt,1.06037,99.85,0.14,1
708.sqlite_r-main_size2000-499B,bw3200_xpt_pythia,1.08084,NaN,0.0,1
708.sqlite_r-main_size2000-499B,bw6400_nopf,1.06219,0,0,1
708.sqlite_r-main_size2000-499B,bw6400_pythia,1.08318,0,0,1
708.sqlite_r-main_size2000-499B,bw6400_normal,1.12309,89.32,95.52,1
708.sqlite_r-main_size2000-499B,bw6400_normal_pythia,1.14111,90.02,95.45,1
708.sqlite_r-main_size2000-499B,bw6400_xpt,1.06243,99.85,0.14,1
708.sqlite_r-main_size2000-499B,bw6400_xpt_pythia,1.08318,NaN,0.0,1
708.sqlite_r-main_size2000-556B,bw200_nopf,0.86616,0,0,1
