TraceName,ExpName,ipc,precision,recall,Filter
729.abc_r-des_system90-75B,bw3200_normal_pythia,0.89528,86.8,86.06,1
729.abc_r-des_system90-75B,bw3200_xpt,0.68833,99.84,43.89,1
729.abc_r-des_system90-75B,bw3200_xpt_pythia,0.89277,69.08,25.7,1
729.abc_r-des_system90-77B,bw3200_nopf,0.9357,0,0,1
729.abc_r-des_system90-77B,bw3200_pythia,1.64838,0,0,1
729.abc_r-des_system90-77B,bw3200_normal,1.03006,99.99,99.99,1
729.abc_r-des_system90-77B,bw3200_normal_pythia,1.65751,84.64,46.93,1
729.abc_r-des_system90-77B,bw3200_xpt,0.97997,99.99,48.75,1
729.abc_r-des_system90-77B,bw3200_xpt_pythia,1.64878,25.96,0.06,1
729.abc_r-des_system90-88B,bw3200_nopf,1.11249,0,0,1
729.abc_r-des_system90-88B,bw3200_pythia,1.76867,0,0,1
729.abc_r-des_system90-88B,bw3200_normal,1.22936,99.99,99.99,1
729.abc_r-des_system90-88B,bw3200_normal_pythia,1.77643,85.23,62.65,1
729.abc_r-des_system90-88B,bw3200_xpt,1.1673,99.99,49.07,1
729.abc_r-des_system90-88B,bw3200_xpt_pythia,1.76873,25.54,0.07,1
729.abc_r-mcml-19B,bw3200_nopf,0.5038,0,0,1
729.abc_r-mcml-19B,bw3200_pythia,0.58593,0,0,1
729.abc_r-mcml-19B,bw3200_normal,0.54299,96.64,99.11,1
729.abc_r-mcml-19B,bw3200_normal_pythia,0.60546,90.42,88.17,1
729.abc_r-mcml-19B,bw3200_xpt,0.51635,99.49,27.41,1
729.abc_r-mcml-19B,bw3200_xpt_pythia,0.58438,73.16,13.12,1
734.vpr_r-jpeg_place-76B,bw3200_nopf,0.63175,0,0,1
734.vpr_r-jpeg_place-76B,bw3200_pythia,0.7896,0,0,1
734.vpr_r-jpeg_place-76B,bw3200_normal,0.68465,95.62,96.92,1
734.vpr_r-jpeg_place-76B,bw3200_normal_pythia,0.80607,80.0,61.79,1
734.vpr_r-jpeg_place-76B,bw3200_xpt,0.64269,98.92,22.91,1
734.vpr_r-jpeg_place-76B,bw3200_xpt_pythia,0.78513,72.39,3.93,1
734.vpr_r-jpeg_route-49B,bw3200_nopf,0.98816,0,0,1
734.vpr_r-jpeg_route-49B,bw3200_pythia,1.12158,0,0,1
734.vpr_r-jpeg_route-49B,bw3200_normal,1.02967,99.79,99.68,1
734.vpr_r-jpeg_route-49B,bw3200_normal_pythia,1.12873,94.32,82.1,1
734.vpr_r-jpeg_route-49B,bw3200_xpt,1.00333,99.68,27.12,1
734.vpr_r-jpeg_route-49B,bw3200_xpt_pythia,1.11971,83.67,1.53,1
734.vpr_r-smithwaterman_place-213B,bw3200_nopf,0.59416,0,0,1
734.vpr_r-smithwaterman_place-213B,bw3200_pythia,0.64459,0,0,1
734.vpr_r-smithwaterman_place-213B,bw3200_normal,0.61381,73.64,54.61,1
734.vpr_r-smithwaterman_place-213B,bw3200_normal_pythia,0.65368,64.61,33.11,1
734.vpr_r-smithwaterman_place-213B,bw3200_xpt,0.59442,91.91,0.04,1
734.vpr_r-smithwaterman_place-213B,bw3200_xpt_pythia,0.64459,NaN,0.0,1
736.ocio_r-heavy_transform-65B,bw3200_nopf,1.19856,0,0,1
736.ocio_r-heavy_transform-65B,bw3200_pythia,1.23309,0,0,1
736.ocio_r-heavy_transform-65B,bw3200_normal,1.20346,100.0,100.0,1
736.ocio_r-heavy_transform-65B,bw3200_normal_pythia,1.23214,88.84,62.23,1
736.ocio_r-heavy_transform-65B,bw3200_xpt,1.20118,99.99,49.34,1
736.ocio_r-heavy_transform-65B,bw3200_xpt_pythia,1.23274,81.78,8.34,1
736.ocio_r-lut1d_halfdom-43B,bw3200_nopf,1.41567,0,0,1
