TraceName,ExpName,ipc,precision,recall,Filter
823.llvm_s-standardinstrumentations_0014-2B,normal,0.91618,92.2,93.5,1
829.abc_s-bitcoin-645B,normal,1.15994,95.92,95.88,1
867.nest_s-microcircuit-2574B,normal,0.15519,97.98,99.75,1
809.cactus_s-shifted_gauge_wave-1690B,normal,0.73296,96.24,72.79,1
737.gmsh_r-torus-74B,normal,0.84641,85.55,89.17,1
737.gmsh_r-gasdis-149B,normal,0.79492,80.28,87.82,1
736.ocio_r-lut1d_halfdom-6B,normal,1.11994,100.0,100.0,1
823.llvm_s-insn_recog_0005-10B,normal,0.89578,98.81,99.54,1
765.roms_r-benchmark2-900B,normal,0.62105,99.63,98.74,1
849.fotonik3d_s-default-11846B,normal,0.68419,100.0,100.0,1
829.abc_s-ethernet_fraig-12B,normal,1.19454,96.27,97.46,1
722.palm_r-atmos-334B,normal,1.14753,99.98,99.96,1
708.sqlite_r-cte_size2000-233B,normal,1.08686,100.0,100.0,1
749.fotonik3d_r-default-130B,normal,0.36254,98.98,99.63,1
823.llvm_s-modelsmodule_0004-24B,normal,1.07621,98.06,99.85,1
823.llvm_s-insn_recog_0005-15B,normal,1.24182,94.0,97.04,1
722.palm_r-atmos-1670B,normal,1.37118,99.62,99.35,1
821.gcc_s-lz4_0002-39B,normal,0.78633,87.64,82.91,1
727.cppcheck_r-770_7z-404B,normal,0.83222,99.66,99.76,1
823.llvm_s-matrix_free_0019-11B,normal,0.86563,94.79,98.58,1
734.vpr_r-jpeg_place-76B,normal,0.68465,95.62,96.92,1
834.vpr_s-wb_conmax_place-461B,normal,1.06329,100.0,100.0,1
811.tealeaf_s-default-35333B,normal,0.84862,100.0,100.0,1
829.abc_s-bitcoin-359B,normal,0.23303,100.0,100.0,1
821.gcc_s-lz4hc_0018-20B,normal,0.88188,87.13,87.47,1
737.gmsh_r-mediterranean-160B,normal,2.22206,99.55,99.01,1
