TraceName,ExpName,dram_read_reqs,Filter
736.ocio_r-mntr_srgb_8k-35B,bw3200_xpt_pythia,8767743,1
736.ocio_r-mntr_srgb_8k-35B,bw3200_normal,8490930,1
736.ocio_r-mntr_srgb_8k-35B,bw3200_normal_pythia,9053357,1
737.gmsh_r-choi-225B,bw3200_nopf,2737478,1
737.gmsh_r-choi-225B,bw3200_pythia,4564179,1
737.gmsh_r-choi-225B,bw3200_xpt,2724844,1
737.gmsh_r-choi-225B,bw3200_xpt_pythia,4550878,1
737.gmsh_r-choi-225B,bw3200_normal,3007689,1
737.gmsh_r-choi-225B,bw3200_normal_pythia,4922240,1
737.gmsh_r-gasdis-121B,bw3200_nopf,7453552,1
737.gmsh_r-gasdis-121B,bw3200_pythia,7825985,1
737.gmsh_r-gasdis-121B,bw3200_xpt,7480023,1
737.gmsh_r-gasdis-121B,bw3200_xpt_pythia,8042559,1
737.gmsh_r-gasdis-121B,bw3200_normal,7529362,1
737.gmsh_r-gasdis-121B,bw3200_normal_pythia,8253796,1
737.gmsh_r-gasdis-149B,bw3200_nopf,2454723,1
737.gmsh_r-gasdis-149B,bw3200_pythia,3722010,1
737.gmsh_r-gasdis-149B,bw3200_xpt,2454641,1
737.gmsh_r-gasdis-149B,bw3200_xpt_pythia,3722010,1
737.gmsh_r-gasdis-149B,bw3200_normal,2936105,1
737.gmsh_r-gasdis-149B,bw3200_normal_pythia,3975852,1
737.gmsh_r-mediterranean-149B,bw3200_nopf,10618827,1
737.gmsh_r-mediterranean-149B,bw3200_pythia,10125686,1
737.gmsh_r-mediterranean-149B,bw3200_xpt,10476636,1
737.gmsh_r-mediterranean-149B,bw3200_xpt_pythia,10103358,1
737.gmsh_r-mediterranean-149B,bw3200_normal,10506240,1
737.gmsh_r-mediterranean-149B,bw3200_normal_pythia,10181714,1
737.gmsh_r-mediterranean-160B,bw3200_nopf,9919224,1
737.gmsh_r-mediterranean-160B,bw3200_pythia,9936890,1
737.gmsh_r-mediterranean-160B,bw3200_xpt,9754097,1
737.gmsh_r-mediterranean-160B,bw3200_xpt_pythia,9918447,1
737.gmsh_r-mediterranean-160B,bw3200_normal,9767315,1
737.gmsh_r-mediterranean-160B,bw3200_normal_pythia,10151724,1
737.gmsh_r-p19-70B,bw3200_nopf,1752517,1
737.gmsh_r-p19-70B,bw3200_pythia,2459154,1
737.gmsh_r-p19-70B,bw3200_xpt,1752481,1
737.gmsh_r-p19-70B,bw3200_xpt_pythia,2459154,1
737.gmsh_r-p19-70B,bw3200_normal,2014370,1
